Parameter,Estimate,Std_Error,t-value,Pr(>|t|)
EEM.mu,0.021049000000000002,0.025072,0.839527,0.401174
EEM.omega,0.016253999999999998,0.009203,1.7661369999999998,0.077373
EEM.alpha1,0.001355,0.012874000000000002,0.10521300000000001,0.916206
EEM.beta1,0.9339940000000001,0.020766,44.978083000000005,0.0
EEM.gamma1,0.116076,0.021658,5.359542,0.0
EEM.shape,10.096051,1.7962310000000001,5.620687,0.0
IVV.mu,0.06129,0.013378,4.581288,5e-06
IVV.omega,0.018216999999999997,0.004975,3.66181,0.00025
IVV.alpha1,0.0,0.015608000000000002,2e-06,0.9999979999999999
IVV.beta1,0.859159,0.021325,40.28941,0.0
IVV.gamma1,0.26806599999999997,0.045311000000000004,5.916105,0.0
IVV.shape,5.587274,0.631026,8.854272,0.0
IEV.mu,0.044917,0.019635,2.287546,0.022164
IEV.omega,0.019874,0.008759999999999999,2.268745,0.023284
IEV.alpha1,0.01908,0.011873,1.607011,0.108052
IEV.beta1,0.900249,0.020873,43.130181,0.0
IEV.gamma1,0.146724,0.034562,4.2452190000000005,2.2e-05
IEV.shape,5.978853,0.708856,8.434510000000001,0.0
IXN.mu,0.082968,0.017725,4.680949,3e-06
IXN.omega,0.021342,0.007679000000000001,2.7791639999999997,0.00545
IXN.alpha1,0.0,0.010351,7.000000000000001e-06,0.9999950000000001
IXN.beta1,0.9028639999999999,0.019656,45.933136,0.0
IXN.gamma1,0.16145199999999998,0.033043,4.886156,1e-06
IXN.shape,6.143082,0.738053,8.323363,0.0
IYR.mu,0.06808,0.018127,3.755661,0.000173
IYR.omega,0.011288,0.004632,2.437137,0.014804
IYR.alpha1,0.053984000000000004,0.018852,2.8635479999999998,0.004189
IYR.beta1,0.89691,0.02055,43.644425,0.0
IYR.gamma1,0.091815,0.024555,3.739127,0.000185
IYR.shape,7.764231,1.056296,7.350427000000001,0.0
IXG.mu,0.049895,0.020477000000000002,2.436668,0.014823
IXG.omega,0.019222,0.008111,2.369952,0.01779
IXG.alpha1,0.019832,0.012073,1.6425869999999998,0.100468
IXG.beta1,0.9038010000000001,0.021212,42.608798,0.0
IXG.gamma1,0.13924,0.0318,4.3786309999999995,1.2e-05
IXG.shape,6.750553,0.875763,7.708196000000001,0.0
EXI.mu,0.052756,0.017461,3.021379,0.002516
EXI.omega,0.010077,0.006815000000000001,1.478673,0.139228
EXI.alpha1,1e-06,0.019111000000000003,2.8000000000000003e-05,0.999977
EXI.beta1,0.923516,0.033231000000000004,27.790578000000004,0.0
EXI.gamma1,0.13688499999999998,0.033863,4.042357,5.3e-05
EXI.shape,7.913525999999999,1.2600129999999998,6.280513,0.0
GC_F.mu,0.037255,0.018327,2.032816,0.042071
GC_F.omega,0.007,0.002624,2.667713,0.0076370000000000006
GC_F.alpha1,0.038758,0.006581999999999999,5.888271,0.0
GC_F.beta1,0.961692,0.000798,1205.415925,0.0
GC_F.gamma1,-0.008794,0.01026,-0.857115,0.391382
GC_F.shape,4.692598,0.456095,10.288635000000001,0.0
BZ_F.mu,0.000798,0.029077,0.027443000000000002,0.9781059999999999
BZ_F.omega,0.008681999999999999,0.0047799999999999995,1.81654,0.069288
BZ_F.alpha1,0.018081,0.005569,3.24647,0.001168
BZ_F.beta1,0.956242,0.001656,577.342298,0.0
BZ_F.gamma1,0.049352999999999994,0.011023999999999999,4.476865,8e-06
BZ_F.shape,6.091851999999999,0.7189840000000001,8.472864999999999,0.0
HYG.mu,0.031301,0.006364,4.918033,1e-06
HYG.omega,0.003206,0.001232,2.6026740000000004,0.00925
HYG.alpha1,0.041535,0.01466,2.833134,0.004609
HYG.beta1,0.8612799999999999,0.023357,36.874243,0.0
HYG.gamma1,0.19237,0.032656,5.89078,0.0
HYG.shape,4.840943,0.436508,11.090164999999999,0.0
TLT.mu,0.037491000000000003,0.017154,2.185518,0.028850999999999998
TLT.omega,0.006340999999999999,0.00223,2.843169,0.0044670000000000005
TLT.alpha1,0.055515999999999996,0.007859,7.064153,0.0
TLT.beta1,0.953249,0.002664,357.796468,0.0
TLT.gamma1,-0.030336000000000002,0.011287,-2.687736,0.007194
TLT.shape,16.04831,5.143189,3.120304,0.001807
Joint.dcca1,0.014969999999999999,0.001419,10.55068,0.0
Joint.dccb1,0.9724219999999999,0.0034560000000000003,281.372953,0.0
Joint.mshape,10.0416,0.469164,21.403178,0.0
