Estimate,Std.,Error,t-value,Pr(>|t|)
EEM.mu,0.062204999999999996,0.026642000000000002,2.33487,0.01955
EEM.omega,2.6747669999999997,0.260427,10.270710000000001,0.0
EEM.alpha1,0.408007,0.074363,5.4867,0.0
EEM.shape,3.171893,0.19603099999999998,16.1806,0.0
IVV.mu,0.089084,0.014842,6.00218,0.0
IVV.omega,1.482664,0.275604,5.37969,0.0
IVV.alpha1,0.8168300000000001,0.182868,4.46676,8e-06
IVV.shape,2.5187209999999998,0.13907,18.11113,0.0
IEV.mu,0.073334,0.021426,3.4227,0.00062
IEV.omega,2.0726169999999997,0.246428,8.410639999999999,0.0
IEV.alpha1,0.576141,0.102913,5.598330000000001,0.0
IEV.shape,2.890557,0.163776,17.64944,0.0
IXN.mu,0.107135,0.018752,5.7131099999999995,0.0
IXN.omega,1.5992979999999999,0.176526,9.05983,0.0
IXN.alpha1,0.418786,0.076667,5.46243,0.0
IXN.shape,2.901656,0.166992,17.375989999999998,0.0
IYR.mu,0.108003,0.019353,5.58059,0.0
IYR.omega,1.399632,0.13205699999999998,10.59873,0.0
IYR.alpha1,0.999,0.090321,11.06058,0.0
IYR.shape,2.9501560000000002,0.10728299999999999,27.49895,0.0
IXG.mu,0.078791,0.021782,3.61732,0.000298
IXG.omega,2.5573240000000004,0.374377,6.83087,0.0
IXG.alpha1,0.903783,0.160755,5.62213,0.0
IXG.shape,2.653816,0.14315799999999998,18.53763,0.0
EXI.mu,0.08739,0.018937,4.61477,4e-06
EXI.omega,1.547931,0.1791,8.64286,0.0
EXI.alpha1,0.636529,0.10833499999999999,5.87556,0.0
EXI.shape,2.93072,0.176143,16.6383,0.0
GC_F.mu,0.042644999999999995,0.019295,2.21015,0.027094999999999998
GC_F.omega,1.408698,0.102628,13.726189999999999,0.0
GC_F.alpha1,0.11258,0.029570999999999997,3.80714,0.00014099999999999998
GC_F.shape,3.5807620000000004,0.274144,13.061589999999999,0.0
BZ_F.mu,0.016301,0.031152,0.52327,0.600785
BZ_F.omega,4.192409,0.442122,9.48247,0.0
BZ_F.alpha1,0.467833,0.079842,5.85947,0.0
BZ_F.shape,3.0346599999999997,0.20632899999999998,14.707870000000002,0.0
HYG.mu,0.042460000000000005,0.006915,6.13995,0.0
HYG.omega,0.22276999999999997,0.025138,8.861939999999999,0.0
HYG.alpha1,0.999,0.106751,9.35823,0.0
HYG.shape,2.756617,0.100753,27.3602,0.0
TLT.mu,0.03694,0.017674000000000002,2.09006,0.036612
TLT.omega,0.738359,0.03369,21.91615,0.0
TLT.alpha1,0.19602,0.033275,5.89098,0.0
TLT.shape,10.091086,1.8153849999999998,5.55865,0.0
Joint.dcca1,0.004067,0.000661,6.15302,0.0
Joint.dccb1,0.994238,0.001549,641.7413,0.0
Joint.mshape,4.0,0.087501,45.713840000000005,0.0
