Parameter,Estimate,Std_Error,t-value,Pr(>|t|)
EEM.mu,0.061173000000000005,0.024284,2.51912,0.011765000000000001
EEM.omega,0.026352999999999998,0.009216,2.8593599999999997,0.0042450000000000005
EEM.alpha1,0.08778899999999999,0.015013999999999998,5.8473,0.0
EEM.beta1,0.903745,0.015243000000000001,59.28978000000001,0.0
EEM.shape,8.995033,1.391567,6.46396,0.0
IVV.mu,0.089037,0.013567,6.56261,0.0
IVV.omega,0.014794,0.005351,2.76461,0.005699
IVV.alpha1,0.139184,0.021136000000000002,6.5850800000000005,0.0
IVV.beta1,0.859816,0.019957,43.08341,0.0
IVV.shape,5.270502,0.527616,9.98927,0.0
IEV.mu,0.067784,0.019408,3.49263,0.000478
IEV.omega,0.017542,0.0081,2.1658,0.030327
IEV.alpha1,0.106209,0.021135,5.02527,1e-06
IEV.beta1,0.8927889999999999,0.020447,43.66319,0.0
IEV.shape,5.870399,0.661254,8.87767,0.0
IXN.mu,0.110797,0.017721,6.25215,0.0
IXN.omega,0.016687999999999998,0.006209,2.6875400000000003,0.007198
IXN.alpha1,0.092003,0.015438999999999998,5.95915,0.0
IXN.beta1,0.9015270000000001,0.01556,57.937909999999995,0.0
IXN.shape,5.733697,0.627197,9.14178,0.0
IYR.mu,0.086949,0.017563,4.95065,1e-06
IYR.omega,0.012124,0.004622,2.62311,0.008713
IYR.alpha1,0.111752,0.021314,5.24306,0.0
IYR.beta1,0.887128,0.019596000000000002,45.26999,0.0
IYR.shape,7.496413,0.9954540000000001,7.53065,0.0
IXG.mu,0.080704,0.019996,4.03603,5.4000000000000005e-05
IXG.omega,0.019006,0.007504,2.53269,0.011319
IXG.alpha1,0.102986,0.019651,5.24076,0.0
IXG.beta1,0.894059,0.018923,47.24735,0.0
IXG.shape,6.426376,0.7756890000000001,8.28473,0.0
EXI.mu,0.07824199999999999,0.017026,4.59535,4e-06
EXI.omega,0.011998,0.005443,2.2044200000000003,0.027495
EXI.alpha1,0.10478399999999999,0.019788999999999998,5.29515,0.0
EXI.beta1,0.893185,0.019299,46.280590000000004,0.0
EXI.shape,7.190005,0.964707,7.45304,0.0
GC_F.mu,0.035782,0.018272999999999998,1.95819,0.050207
GC_F.omega,0.007026,0.002591,2.71208,0.006686
GC_F.alpha1,0.033712,0.003147,10.71283,0.0
GC_F.beta1,0.9620360000000001,0.000794,1212.01376,0.0
GC_F.shape,4.6969449999999995,0.45683199999999996,10.28156,0.0
BZ_F.mu,0.0131,0.029275,0.44747,0.6545350000000001
BZ_F.omega,0.012928,0.007711,1.6766400000000001,0.093612
BZ_F.alpha1,0.053491,0.009132,5.8576,0.0
BZ_F.beta1,0.945509,0.009356,101.05726999999999,0.0
BZ_F.shape,5.638534,0.615151,9.1661,0.0
HYG.mu,0.039560000000000005,0.006423999999999999,6.1584699999999994,0.0
HYG.omega,0.003956,0.001614,2.4511,0.014242
HYG.alpha1,0.155365,0.027844999999999998,5.5795900000000005,0.0
HYG.beta1,0.843635,0.028494,29.60753,0.0
HYG.shape,4.600140000000001,0.381678,12.05242,0.0
TLT.mu,0.02922,0.016737000000000002,1.7458799999999999,0.080831
TLT.omega,0.00806,0.003279,2.45802,0.013971
TLT.alpha1,0.044545,0.007495999999999999,5.94223,0.0
TLT.beta1,0.946368,0.008953000000000001,105.70971999999999,0.0
TLT.shape,15.630739000000002,4.712781,3.31667,0.0009109999999999999
Joint.dcca1,0.014087,0.001297,10.86428,0.0
Joint.dccb1,0.9760700000000001,0.002912,335.19434,0.0
Joint.mshape,10.140296000000001,0.478333,21.19923,0.0
