;Estimate;Std. Error;t value;Pr(>|t|)
[BZ.F].mu;0.057423;0.025708;2.2337;0.025504
[BZ.F].omega;0.041548;0.015783;2.6324;0.008478
[BZ.F].alpha1;0.082209;0.01277;6.4378;0
[BZ.F].beta1;0.915884;0.012727;71.9626;0
[BZ.F].shape;4.599333;0.389094;11.8206;0
[EEM].mu;0.062183;0.019775;3.1445;0.001664
[EEM].omega;0.03811;0.009953;3.8291;0.000129
[EEM].alpha1;0.102263;0.014144;7.2299;0
[EEM].beta1;0.883358;0.015227;58.0124;0
[EEM].shape;9.45804;1.26215;7.4936;0
[EXI].mu;0.08303;0.013833;6.0021;0
[EXI].omega;0.018285;0.005495;3.3276;0.000876
[EXI].alpha1;0.122555;0.016685;7.3451;0
[EXI].beta1;0.873145;0.016111;54.1956;0
[EXI].shape;6.507983;0.655953;9.9214;0
[GC.F].mu;0.040605;0.013956;2.9096;0.003619
[GC.F].omega;0.005569;0.001798;3.0969;0.001956
[GC.F].alpha1;0.03381;0.002655;12.736;0
[GC.F].beta1;0.963582;0.000458 21;4.3447;0
[GC.F].shape;4.20644;0.306663;13.7168;0
[HYG].mu;0.036234;0.004711;7.6914;0
[HYG].omega;0.003468;0.000907;3.8242;0.000131
[HYG].alpha1;0.168151;0.020994;8.0093;0
[HYG].beta1;0.830849;0.020376;40.7767;0
[HYG].shape;4.776342;0.341749;13.9762;0
[IEV].mu;0.068258;0.015062;4.5316;0.000006
[IEV].omega;0.021126;0.006354;3.3249;0.000884
[IEV].alpha1;0.121385;0.017619;6.8893;0
[IEV].beta1;0.87629;0.016584;52.8397;0
[IEV].shape;5.697932;0.511382;11.1422;0
[IVV].mu;0.100311;0.011121;9.0199;0
[IVV].omega;0.020467;0.004669;4.3834;0.000012
[IVV].alpha1;0.168965;0.018712;9.0299;0
[IVV].beta1;0.830034;0.016129;51.4614;0
[IVV].shape;5.286159;0.452399;11.6847;0
[IXG].mu;0.081204;0.015715;5.1674;0
[IXG].omega;0.026678;0.007059;3.7791;0.000157
[IXG].alpha1;0.125496;0.017519;7.1635;0
[IXG].beta1;0.869719;0.016598;52.4001;0
[IXG].shape;5.996621;0.555672;10.7917;0
[IXN].mu;0.127067;0.015321;8.2934;0
[IXN].omega;0.02895;0.007143;4.053;0.000051
[IXN].alpha1;0.122426;0.013887;8.8159;0
[IXN].beta1;0.868024;0.01355;64.062;0
[IXN].shape;5.900839;0.55574;10.618;0
[IYR].mu;0.086808;0.014579;5.9545;0
[IYR].omega;0.016924;0.004614;3.6676;0.000245
[IYR].alpha1;0.119841;0.016978;7.0585;0
[IYR].beta1;0.875548;0.015985;54.772;0
[IYR].shape;7.812497;0.904774;8.6347;0
[TLT].mu;0.026467;0.013273;1.994;0.046148
[TLT].omega;0.015171;0.006031;2.5154;0.01189
[TLT].alpha1;0.066384;0.014206;4.6728;0.000003
[TLT].beta1;0.915514;0.019628;46.6444;0
[TLT].shape   1;4.94412;3.582823;4.171;0.00003
[Joint]dcca1;0.015925;0.001498;10.6292;0
[Joint]dccb1;0.973362;0.003300  2;94.9427;0
[Joint]mshape;9.46514;0.349636;27.0714;0
